id;text;multiple_choice_subject_id
1;Follaje;1
2;Morfotipos/Portes;1
3;Condiciones ambientales de los morfotipos;1
4;Distribución geográfica;4
5;Fenología;4
6;Color/Textura;4
7;Influencia de la topografía en la distribución local de la especie;4
8;Clasificación;4
9;Morfotipos/Portes;4
10;Incendios;10
11;Distribución geográfica;16
12;Condiciones ambientales;16
13;Estructura de bosque;16
14;Especies con las que se asocia;16
15;Interpretación;16
16;Tipos;21
17;Definición;21
18;Influencia de la topografía en su distribución;21
19;Definiciones;21
